customer_id,name,year,quarter,recognized_revenue_usd,cash_received_usd,arr_usd,payment_terms
CUST001,GammaRetail,2025,Q1,700000,700000,2800000,Net 30 Quarterly
CUST001,GammaRetail,2025,Q2,700000,700000,2800000,Net 30 Quarterly
CUST001,GammaRetail,2025,Q3,700000,700000,2800000,Net 30 Quarterly
CUST001,GammaRetail,2025,Q4,700000,700000,2800000,Net 30 Quarterly
CUST001,GammaRetail,2026,Q1,700000,700000,2800000,Net 30 Quarterly
CUST002,AlphaCorp,2025,Q1,525000,525000,2100000,Net 30 Quarterly
CUST002,AlphaCorp,2025,Q2,525000,525000,2100000,Net 30 Quarterly
CUST002,AlphaCorp,2025,Q3,525000,525000,2100000,Net 30 Quarterly
CUST002,AlphaCorp,2025,Q4,525000,525000,2100000,Net 30 Quarterly
CUST002,AlphaCorp,2026,Q1,525000,525000,2100000,Net 30 Quarterly
CUST003,TechFlow Enterprise,2025,Q4,450000,1800000,1800000,Annual Prepay
CUST003,TechFlow Enterprise,2026,Q1,450000,0,1800000,Annual Prepay
CUST004,DataSphere Inc,2025,Q4,375000,375000,1500000,Net 30 Quarterly
CUST004,DataSphere Inc,2026,Q1,375000,375000,1500000,Net 30 Quarterly
CUST005,Quantum Dynamics,2025,Q2,300000,300000,1200000,Net 30 Quarterly
CUST005,Quantum Dynamics,2025,Q3,300000,300000,1200000,Net 30 Quarterly
CUST005,Quantum Dynamics,2025,Q4,300000,300000,1200000,Net 30 Quarterly
CUST005,Quantum Dynamics,2026,Q1,300000,300000,1200000,Net 30 Quarterly
CUST006,Meridian Analytics,2025,Q1,237500,237500,950000,Net 30 Quarterly
CUST006,Meridian Analytics,2025,Q2,237500,237500,950000,Net 30 Quarterly
CUST006,Meridian Analytics,2025,Q3,237500,237500,950000,Net 30 Quarterly
CUST006,Meridian Analytics,2025,Q4,237500,237500,950000,Net 30 Quarterly
CUST006,Meridian Analytics,2026,Q1,237500,237500,950000,Net 30 Quarterly
CUST007,CloudBurst Inc,2025,Q2,220000,880000,880000,Annual Prepay
CUST007,CloudBurst Inc,2025,Q3,220000,0,880000,Annual Prepay
CUST007,CloudBurst Inc,2025,Q4,220000,0,880000,Annual Prepay
CUST007,CloudBurst Inc,2026,Q1,220000,0,880000,Annual Prepay
CUST008,Apex Robotics,2025,Q3,205000,205000,820000,Net 30 Quarterly
CUST008,Apex Robotics,2025,Q4,205000,205000,820000,Net 30 Quarterly
CUST008,Apex Robotics,2026,Q1,205000,205000,820000,Net 30 Quarterly
CUST009,Vantage AI Labs,2026,Q1,187500,187500,750000,Net 30 Quarterly
CUST010,BetaHealth,2025,Q3,180000,180000,720000,Net 30 Quarterly
CUST010,BetaHealth,2025,Q4,180000,180000,720000,Net 30 Quarterly
CUST010,BetaHealth,2026,Q1,180000,180000,720000,Net 30 Quarterly
